citing_publisher,cited_name,cited_name
CCC,Richard A. Lanham,2
CCC,Richard Fry,2
CCC,Richard L. Larson,2
CCC,Richard Marback,2
CCC,Richard Miller,2
CCC,Richard Ohmann,2
CCC,Richard Pérez-Peña,2
CCC,Robert Asen,2
CCC,Robert E. Brooke,2
CCC,Robert McRuer,2
CCC,Robert Yagelski,2
CCC,Robin Varnum,2
CCC,Rochelle L. Rodrigo,2
CCC,Ronda Leathers Dively,2
CCC,Rose Gubele,2
CCC,Sandra L. Tarabochia,2
CCC,Scot Barnett,2
CCC,Scott Wible,2
CCC,Sean Zwagerman,2
CCC,Shari J. Stenberg,2
CCC,Sharon Stockton,2
CCC,Shaun Slattery,2
CCC,Shawn Wilson,2
CCC,Sheridan Blau,2
CCC,Sherry Lee Linkon,2
CCC,Shirley Wilson Logan,2
CCC,Sondra Perl,2
CCC,Staci M. Perryman-Clark,2
CCC,Stephanie L. Kerschbaum,2
CCC,Steve Kolowich,2
CCC,Steve Lamos,2
CCC,Steven Fraiberg,2
CCC,Stewart Whittemore,2
CCC,Stuart Selber,2
CCC,Sue Hum,2
CCC,Susan H. McLeod,2
CCC,Susan Lang,2
CCC,Suzanne B. Spring,2
CCC,Teresa Brennan,2
CCC,Thomas L. Hilgers,2
CCC,Thomas N. Huckin,2
CCC,Thomas Newkirk,2
CCC,Thomas P. Miller,2
CCC,Thomas Rickert,2
CCC,Tiffany Rousculp,2
CCC,Tom Fox,2
CCC,Tony Burgess,2
CCC,Virginia Woolf,2
CCC,W. Michele Simmons,2
CCC,Walter Benjamin,2
CCC,Walter Ong,2
CCC,William Condon,2
CCC,William H. Thelin,2
CCC,William P. Banks,2
CCC,eds. ,2
CCC, Beaugrande,1
CCC, Composing,1
CCC, Dijck,1
CCC, Douglas,1
CCC, Leeuwen,1
CCC, prez,1
CCC,A. Suresh Canaragajah,1
CCC,A. Susan Owen,1
CCC,A.Abby Knoblauch,1
CCC,A.B. Zahlan,1
CCC,A.D. Anokye,1
CCC,A.D.E.Ad Hoc Committee Staffing nan,1
CCC,A.E. Harvey,1
CCC,A.L. Tibawi,1
CCC,A.M.E. Church,1
CCC,A.S. Neill,1
CCC,A.S. Trace,1
CCC,Aaron Schutz,1
CCC,Aaron Smith,1
CCC,Aaron Vantsinjan,1
CCC,Abigail Hess,1
CCC,Abraham Cahan,1
CCC,"Achieve, Inc. nan",1
CCC,Adam B. Lawrence,1
CCC,Adam Barker,1
CCC,Adam Ellwanger,1
CCC,Adam Gopnik,1
CCC,Adam Heidebrink-Bruno,1
CCC,Adam Jaworski,1
CCC,Addie Brown,1
CCC,Adele E. Clarke,1
CCC,Adisa A. Alkebulan,1
CCC,Adolph Reed,1
CCC,Adrian Blackledge,1
CCC,Adrian Cunningham,1
CCC,Adrian Holliday,1
CCC,Adrian Miles,1
CCC,Ahmar Mahboob,1
CCC,Aimee Rowe Carrillo,1
CCC,Aja Y. Martinez,1
CCC,Alain Locke,1
CCC,Alan Bryman,1
CCC,Alan C. Purves,1
CCC,Alan France,1
CCC,Alan Kalish,1
CCC,Alan Liu,1
CCC,Alan Mallach,1
CCC,Alan Price,1
CCC,Alan W. France,1
CCC,Albert Bandura,1
CCC,Albert O.Exit Hirschman,1
CCC,Alberta M. Gloria,1
CCC,Alberto Melucci,1
CCC,Albrecht Crane,1
CCC,Alex Antram,1
CCC,Alex Horton,1
CCC,Alex Rudniy,1
CCC,Alex Usher,1
CCC,Alexander Bain,1
CCC,Alexander Choate,1
CCC,Alexander Coggin,1
CCC,Alexander Sandoval,1
CCC,Alexandra J. Cavallaro,1
CCC,Alexis C. Madrigal,1
CCC,Alexis E. Ramsey-Tobienne,1
CCC,Alexis E.Ramsey Tobienne,1
CCC,Alfred O. Wlecke,1
CCC,Alfredo Lujan,1
CCC,Ali Fuad Selvi,1
CCC,Alice Brand,1
CCC,Alice C.Letter to Lisle A.Rose Baum,1
CCC,Alice Ives Letters to Alice Longfellow M.S. Gilman,1
CCC,Alice J. Robison,1
CCC,Alice M. Gillam,1
CCC,Alicia Brazeau,1
CCC,Alison Bartlett,1
CCC,Alison Jaggar,1
CCC,Alison M. Jagger,1
CCC,Allan F. Hanson,1
CCC,Allan Wigfield,1
CCC,Allen E. Repko,1
CCC,Allen W. Wood,1
CCC,Allesandro Portelli,1
CCC,Allison Carr,1
CCC,Allison L. Hurst,1
CCC,Allison R. Lombardi,1
CCC,Althea Bass,1
CCC,Alton L. Becker,1
CCC,Alvan R. Feinstein,1
CCC,Alvin Toffler,1
CCC,Alvin W. Gouldner,1
CCC,Amanda Fairbanks,1
CCC,Amanda Fields,1
CCC,Amanda Ripley,1
CCC,Amber Buck,1
CCC,American Association University Professors,1
CCC,"American Educational Research Association, American Psychological Association, and National Council on Measurement in Education nan",1
CCC,American Historical Association nan,1
CCC,American National Election Studies,1
CCC,Amina J. Dickerson,1
CCC,Amiri Baraka,1
CCC,Amos Paran,1
CCC,Amy A. Zenger,1
CCC,Amy D. Propen,1
CCC,Amy Devitt,1
CCC,Amy Kaplan,1
CCC,Amy Kimme Hea,1
CCC,Amy L. Housley Gaffney,1
CCC,Amy LynchBiniek,1
CCC,Amy M. Azzam,1
CCC,Amy M. Goodburn,1
CCC,Amy Stornaiuolo,1
CCC,Amy Wax,1
CCC,Ana Celia Zentella,1
CCC,Ancestry Home Page nan,1
CCC,Andrea Gallagher,1
CCC,Andrea Greenbaum,1
CCC,Andrea Hernandez,1
CCC,Andrea R. Olinger,1
CCC,Andrea Riley-Mukavetz,1
CCC,Andrea Rounsaville,1
CCC,Andrew Mytelka,1
CCC,Andrew Ross,1
CCC,Andrew Saultz,1
CCC,Andrew T. Lincoln,1
CCC,Andrew W. Lehren,1
CCC,Andy Clark,1
CCC,Andy Romney,1
CCC,Angel Lin,1
CCC,Angela Haas,1
CCC,Angela Trethewey,1
CCC,Angela Valenzuela,1
CCC,Angelika Menne-Haritz,1
CCC,Anicca Cox,1
CCC,Anita Hill Signifyin,1
CCC,Anita Pandey,1
CCC,Ann Brady,1
CCC,Ann Burke,1
CCC,Ann Cvetkovich,1
CCC,Ann Douglas,1
CCC,Ann Dziedziula,1
CCC,Ann E. Bertoff,1
CCC,Ann Hill Duin,1
CCC,Ann Humes,1
CCC,Ann Jurecic,1
CCC,Ann Lantz,1
CCC,Ann Larson,1
CCC,Ann M. Blakeslee,1
CCC,Ann M. Johns,1
CCC,Ann Orr,1
CCC,Ann Penrose,1
CCC,Ann Rockley,1
CCC,Ann T. Cleary,1
CCC,Anna Cummings Johnson,1
CCC,Anna Jirschele,1
CCC,Anna Lloyd,1
CCC,Anna M. Harrington,1
CCC,Anna Orso,1
CCC,Anna Sophia Habib,1
CCC,Anne Dipardo,1
CCC,Anne Fields,1
CCC,Anne Friedburg,1
CCC,Anne Haas Dyson,1
CCC,Anne Isba,1
CCC,Anne McDonald,1
CCC,Anne-Elizabeth Murdy,1
CCC,Anne-Marie Hall,1
CCC,Anne-Marie Womack,1
CCC,AnneMarie Nuñez,1
CCC,Anneke A.J.van Enk,1
CCC,Annette Vee,1
CCC,Annie McClanahan,1
CCC,Annie S. Mendenhall,1
CCC,Annika Hammerschlag,1
CCC,Annmarie Valdes,1
CCC,Antero Garcia,1
CCC,Anthony Appiah,1
CCC,Anthony De Jesús,1
CCC,Anthony Edgington,1
CCC,Anthony G. Amsterdam,1
CCC,Anthony Giddens,1
CCC,Anthony J. Tucci,1
CCC,Anthony Petrosky,1
CCC,Antonio Damasio,1
CCC,Antonio Gramsci,1
CCC,Antony Bryant,1
CCC,April Baker-Bell,1
CCC,Archive-It ,1
CCC,Arif Dirlik,1
CCC,Aristotle,1
CCC,Arizona Queer Archives Home ,1
CCC,Arjuna Parakrama,1
CCC,Arlene Wilner,1
CCC,Arlie Russell Hochschild,1
CCC,Arnetha Ball,1
CCC,Arnoldo Garcia,1
CCC,Arthur Amiotte,1
CCC,Arthur L. Costa,1
CCC,Arthur L. L. Costa,1
CCC,Arthur Lasante Smith,1
CCC,Arturo Yañez,1
