citing_publisher,citing_year,citing_name,citing_name
Community Literacy Journal,1/1/2016,Eli Goldblatt,6
Community Literacy Journal,1/1/2016,Paul Feigenbaum,5
Community Literacy Journal,1/1/2016,Vani Kannan,3
Community Literacy Journal,1/1/2016,Erec Toso,2
Community Literacy Journal,1/1/2016,Maria Conti,1
Community Literacy Journal,1/1/2016,Paula Mathieu,1
Community Literacy Journal,1/1/2017,Kristen H. Perry,88
Community Literacy Journal,1/1/2017,Charles J. Lesh,56
Community Literacy Journal,1/1/2017,Terese Guinsatao Monberg,35
Community Literacy Journal,1/1/2017,Chelsea J. Murdock,29
Community Literacy Journal,1/1/2017,Tobi Jacobi,20
Community Literacy Journal,1/1/2017,Steven Alvarez,17
Community Literacy Journal,1/1/2017,Jessica Estep,16
Community Literacy Journal,1/1/2017,Michael T. MacDonald,15
Community Literacy Journal,1/1/2017,Lauren Rosenberg,8
Community Literacy Journal,1/1/2017,Marissa M. Juárez,7
Community Literacy Journal,1/1/2017,Whitney Douglas,6
Community Literacy Journal,1/1/2017,Michelle Curry,4
Community Literacy Journal,1/1/2017,Rachael Wendler Shah,4
Community Literacy Journal,1/1/2017,Sarah Tham,3
Community Literacy Journal,1/1/2017,Jessica Shumake,2
Community Literacy Journal,1/1/2017,Paula Mathieu,2
Community Literacy Journal,1/1/2017,Reed Kara,2
Community Literacy Journal,1/1/2017,Eli Goldblatt,1
Community Literacy Journal,1/1/2017,Eric A. House,1
Community Literacy Journal,1/1/2017,Rosanne Carlo,1
Community Literacy Journal,1/1/2018,Alice Ragland,34
Community Literacy Journal,1/1/2018,Justin Lohr,31
Community Literacy Journal,1/1/2018,Amy C. Kimme Hea Hickman,21
Community Literacy Journal,1/1/2018,Megan Opperman,18
Community Literacy Journal,1/1/2018,Wendy Wolters Hinshaw,18
Community Literacy Journal,1/1/2018,Dorothy Whitehorse DeLaune,16
Community Literacy Journal,1/1/2018,Erica M. Stone,15
Community Literacy Journal,1/1/2018,Romeo Garcia,15
Community Literacy Journal,1/1/2018,Karen Rowan,13
Community Literacy Journal,1/1/2018,Lesley Graybeal,12
Community Literacy Journal,1/1/2018,Gina Wrobel,4
Community Literacy Journal,1/1/2018,Mary Birdsall,3
Community Literacy Journal,1/1/2018,Allison Bennett,1
Community Literacy Journal,1/1/2018,Anthony DeGenaro,1
Community Literacy Journal,1/1/2018,Casely E. Coan,1
Community Literacy Journal,1/1/2018,Ellen Cushman,1
Community Literacy Journal,1/1/2018,Ildikó Melis,1
Community Literacy Journal,1/1/2018,Jessica Shumake,1
Composition Studies,1/1/2013,Christine Denecker,48
Composition Studies,1/1/2013,Courtney Adams Wooten,37
Composition Studies,1/1/2013,Duncan Koerber,34
Composition Studies,1/1/2013,Oriana Gatta,32
Composition Studies,1/1/2013,Ryan Skinnell,31
Composition Studies,1/1/2013,Annie Mendenhall,29
Composition Studies,1/1/2013,Brian Ray,25
Composition Studies,1/1/2013,Kenna Barrett,21
Composition Studies,1/1/2013,Michael Charlton,16
Composition Studies,1/1/2013,William Duffy,8
Composition Studies,1/1/2013,Sushil K. Oswal,6
Composition Studies,1/1/2013,Bryna Siegel Finer,4
Composition Studies,1/1/2013,Paul Dahlgren,3
Composition Studies,1/1/2013,Kristin Ravel,2
Composition Studies,1/1/2013,Lauri Bohanan Goolding,1
Composition Studies,1/1/2013,Madeline Walker,1
Composition Studies,1/1/2013,Peter Brooks,1
